"Model","Scenario","Region","Variable","Unit","2000","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"REMIND-MAgPIE 1.7-3.0","PEP_1p5C_full_NDC","World","Final Energy|Electricity","EJ/yr","",54.4048,63.5069,76.3571,93.8272,109.9106,128.0343,138.4044,166.5319,206.4524,255.9514,299.817,337.0439,"",398.532,"",463.3249,"",522.7719,"",579.203
"POLES EMF33","EMF33_tax_hi_full","World","Final Energy|Electricity","EJ/yr",45.57295227050779,54.2414779663086,64.1654510498047,"",83.9918670654297,"",102.675941467285,"",127.681549072266,"",153.301910400391,"",172.018417358398,"",189.189697265625,"",202.571365356445,"",213.275894165039,"",221.897491455078
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_600_DR1p","World","Final Energy|Electricity","EJ/yr",45.60345319328286,54.37043625306626,64.30586838048906,72.30223561045895,86.53182370761722,92.80328195286528,111.2832966026972,133.5240099023885,158.5366520811165,184.1139841262202,207.4038703369692,226.3839898172816,244.726271960558,"",283.7356453826191,"",323.8757940245528,"",361.9286747361475,"",403.7515440181813
"TIAM-ECN 1.1","EN_NPi2020_2500","World","Final Energy|Electricity","EJ/yr","",54.5,64.46,"",83.46010994266071,"",106.0654620357841,"",124.1927098821758,"",142.6620973639019,"",160.0334892932471,"",187.8105066858159,"",217.3092598851785,"",247.9022997851197,"",268.495968632362
"IMAGE 3.0","EN_INDCi2030_1200","World","Final Energy|Electricity","EJ/yr","",54.49975,64.48576953125,74.643828125,87.26265625,97.65325,108.7003984375,105.4776015625,105.067296875,108.0971015625,119.218203125,"",147.95759375,"",175.779203125,"",202.034703125,"",230.89659375,"",252.12659375
"COFFEE 1.1","EN_NPi2020_1200","World","Final Energy|Electricity","EJ/yr","","",62.15960801664,67.1834539656,74.69690028912,84.44895984719999,86.86814790239997,87.93335545776,93.66764473008,98.5789941984,109.89269219376,"",180.4576375944,"",258.44665692528,"",278.4815619264,"",291.63952241424,"",286.66522866672
"REMIND-MAgPIE 2.1-4.2","EN_INDCi2030_1400","World","Final Energy|Electricity","EJ/yr","",54.5046,63.4797,72.0233,83.5971,98.1503,119.2172,135.8909,154.3459,183.0325,214.6123,242.4369,273.0266,"",330.7587,"",377.1377,"",409.2137,"",444.3107
"IMAGE 3.2","SSP2_SPA2_45I_RE","World","Final Energy|Electricity","EJ/yr","",51.25176953125,61.252859375,71.2719609375,75.953390625,81.6821796875,96.732578125,119.288,140.178203125,161.572203125,183.72159375,203.58090625,225.234203125,246.244203125,263.15390625,275.414,285.2736875,292.77740625,302.8168125,310.711,320.2701875
"POLES ENGAGE","EN_INDCi2030_1000_NDCp","World","Final Energy|Electricity","EJ/yr","",54.15902709960938,63.93017578125,72.0828628540039,82.9152603149414,94.91433715820312,106.3837738037109,105.1712951660156,114.3496246337891,130.8834228515625,148.7170257568359,"",186.0093688964844,"",225.2543792724609,"",265.8567199707031,"",294.3501586914062,"",310.0044250488281
"REMIND-MAgPIE 2.1-4.2","EN_INDCi2030_1000f_NDCp","World","Final Energy|Electricity","EJ/yr","",54.5046,63.4797,72.0233,83.5971,97.7204,119.0446,135.3584,159.0598,194.6501,230.9781,262.2901,293.9278,"",352.2581,"",399.8236,"",433.5056,"",473.1602
"TIAM-ECN 1.1","EN_INDCi2030_2000","World","Final Energy|Electricity","EJ/yr","",54.5,64.46,"",82.42784782236224,"",103.0755017310596,"",123.201893425599,"",143.677738945886,"",164.8143425074072,"",197.2380623635533,"",231.9557312364549,"",269.1944837266413,"",293.1202924570978
"REMIND 2.1","LeastTotalCost_CEA_brkLR15_SSP2_P50","World","Final Energy|Electricity","EJ/yr","",54.5046,63.4634,72.4661,84.0155,98.0002,114.8712,128.3838,145.589,166.49,192.5,217.8928,244.8735,"",296.7188,"",335.3507,"",362.9287,"",386.5647
"MESSAGEix-GLOBIOM_1.1","EN_INDCi2030_1200f_COV_NDCp","World","Final Energy|Electricity","EJ/yr",45.60345319328286,54.37043625306626,64.30586838048906,72.30223561045895,79.87818765640262,79.98358462165115,90.19262054507485,102.9348983685477,116.2753066953417,135.3503143492529,155.7194751080822,177.2965313227206,196.3089587964132,"",254.5330904948418,"",304.8839307590641,"",346.9050606042782,"",371.4671277546811
"REMIND-MAgPIE 1.7-3.0","EMF33_WB2C_nobeccs","World","Final Energy|Electricity","EJ/yr","",54.40499999999999,63.9112,77.0077,93.5746,96.06,108.4459,135.3576,177.5294,218.8665,248.8621,278.8258,301.7654000000001,"",335.8914,"",366.3525,"",376.8144,"",393.7344
