"Model","Scenario","Region","Variable","Unit","2000","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"WITCH 5.0","EN_INDCi2030_2500f_NDCp","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","","",12366.20921501164,13397.24123580147,14382.75226419721,14687.99594199604,9231.620005230538,11632.85231819561,8268.252506140077,5690.284745297636,3821.226501026817,2575.993308113815,1988.121518961895,1449.348103707235,1077.84492180453,909.7459618217492,710.4845670332998,462.6132782028402,17.38613965574531,-365.2895902612447,-972.4285393042292
"WITCH 5.0","EN_NPi2020_600","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","","",12366.20921501164,13397.24123580147,14818.15082113913,4831.033059405636,2062.849059303019,150.8441250046239,-1111.597001219916,-2356.595998522876,-3014.289115429926,-3562.601762463565,-4189.75035307401,-4955.898606837143,-5658.273925902805,-5980.995470132316,-6869.980520810235,-7678.314726491821,-8404.326703680515,-9149.241008838291,-9805.09349332424
"REMIND-MAgPIE 2.1-4.2","EN_INDCi2030_600f_NDCp","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",9653.1289,10966.1849,11556.0808,11884.1622,10949.0024,9674.1747,5304.7257,1849.9571,954.7683,527.6131,190.8886,-8.0501,"",-306.9735,"",-441.8619,"",-449.7301,"",-445.554
"POLES ENGAGE","EN_INDCi2100_COV_NDCp","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",10203.7490234375,11570.8427734375,12363.328125,11717.2900390625,12935.6298828125,12365.9033203125,11528.4541015625,11587.0625,11413.578125,11124.384765625,"",11353.6044921875,"",11055.8955078125,"",11290.087890625,"",11417.5908203125,"",11155.8505859375
"WITCH 5.0","EN_NPi2020_2500","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","","",12366.20921501164,13397.24123580147,14818.15082113913,14456.77014774038,12824.6550885302,10257.65104614278,7605.548454044654,4662.706482856881,3420.853275406968,2557.777994145178,2093.331322777555,1494.529538165815,1126.382120125655,937.1859973621796,737.6494911436428,490.4357171775157,64.62133865027835,-463.5975402561915,-1096.185497833002
"WITCH 5.0","EN_NPi2020_2000f","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","","",12366.20921501164,13397.24123580147,14818.15082113913,12655.87259094752,9810.101421693424,7260.439093438961,4181.342331429913,2240.42507905959,1289.388268513898,441.0517159426562,-15.71604470994154,-537.9584187982996,-855.8725394959131,-1183.57355161207,-1672.429364244797,-2351.274461780074,-3318.559796841124,-4469.790477572192,-5410.890721338769
"REMIND 2.1","TechCost-SSP2-B1100-coalH","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",9313.0082,10745.8533,11486.8151,11697.123,9576.742,6809.6027,3622.7912,1829.9417,1127.5642,847.8738,673.0264,694.4708,"",749.5878,"",775.1586,"",696.1634,"",481.2101
"GCAM 5.3","R_MAC_99_n0","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",10175.7133376288,11696.2659947255,12649.7131770937,14259.2270482917,13745.2653965363,12892.4118960596,11299.9046327606,9460.22523591418,7463.76355612534,5604.90607271426,3704.16754950497,1935.74689899031,341.851278507227,-818.231912035644,-1696.85197432086,-2288.44094279127,-2698.0801267875,-3050.65134207085,-3352.85431920946,-3688.40610479885
"MESSAGEix-GLOBIOM_1.1","EN_INDCi2030_3000_NDCp","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",8676.462630642422,10427.14377423335,10836.10564712065,13276.53796333692,13340.63523463972,11809.65358227905,10804.14610403293,11342.1396770282,10852.47404569899,10024.90422065164,10168.67984595457,11289.61552572419,12109.40440883741,"",11548.92524460667,"",8748.758195407125,"",1715.245562599681,"",-168.6673280230659
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_2500f","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",8676.462630642422,10427.14377423335,10836.10564712065,13276.53796333692,13340.63523463972,11638.74471249649,11409.59141334659,10612.80343553715,9572.030068399848,8998.168459559078,8939.13419736404,9576.892127332992,10029.67863656763,"",8869.813263886668,"",4476.419570765242,"",31.2609980903299,"",-436.7882110403217
"GCAM 5.3","R_MAC_35_n0","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",10175.7134056519,11696.2661120517,12649.7136627324,14259.2278793009,7965.07172508704,-48.8493750874487,-3950.22404607732,-4105.88243158451,-4111.78057095884,-3753.46886763851,-3574.14904130281,-3923.8493681206,-4551.2287381832,-4885.14888743769,-4854.61736397837,-4589.11420831552,-4159.9169418976,-3807.08704297894,-3509.7161296662,-3595.49694898957
"REMIND-MAgPIE 2.1-4.2","EN_NPi2020_800","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",9653.1289,10966.1849,11556.0808,11884.1622,9311.5523,5170.5384,2108.5515,1357.5857,1092.3277,814.7255,585.8689,445.8795,"",148.125,"",-92.18,"",-286.6066,"",-424.6314
"MESSAGEix-GLOBIOM_1.1","EN_NPi2020_1400f_COV","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",8676.462630642422,10427.14377423335,10836.10564712065,13276.53796333692,12245.13766216135,7989.29900362311,7240.832898053126,7028.045703775103,5906.904434432809,6092.154704406231,5942.811074006761,5334.181658939987,4145.656963572713,"",367.5781525685985,"",79.19510141128237,"",-140.4768936670999,"",-118.8990526278725
"WITCH 5.0","EN_NPi2020_3000","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","","",12366.20921501164,13397.24123580147,14818.15082113913,15708.00914659828,14698.64676767034,12992.2832151181,11025.42862560119,8354.862895124816,6604.794867536712,5425.819613209306,4759.101185452725,3826.47385248043,3472.876253787544,3323.378172723884,3206.903882693188,3102.277954458395,2842.693307698235,2780.009367385256,2726.535441012601
"MESSAGE-GLOBIOM 1.0","EMF30_Slower-to-faster","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",11110.0982666667,11689.2289433333,"",11666.53147,"",11649.42768,"",3633.366806666671,"",838.64198,"",4592.922729999998,"",679.879053333333,"",-319.64251,"",-127.365113333333,"",-0.377813333333332
"MESSAGEix-GLOBIOM_GEI 1.0","SSP2_openres_lc_CB450","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",8819.76386185922,10988.3299058154,11692.1746688039,"",12421.2145221445,"",4396.44272101731,"",1138.35111411847,"",56.8441132487357,"",-864.873127036294,"",-451.617931207065,"",-263.584801839419,"",-98.318427754886,"",-70.4994973576932
"POLES ENGAGE","EN_NPi2020_500","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",10203.7490234375,11570.8427734375,12363.328125,12777.8701171875,3695.786865234375,2488.537841796875,1586.681640625,1107.968383789062,593.0750732421875,469.49072265625,"",216.0863494873047,"",-382.7021789550781,"",-532.6795654296875,"",22.49392509460449,"",207.4618072509766
"GEM-E3_V2021","EN_INDCi2030_1000_COV_NDCp","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","","","",12395.23196576639,11695.55564207281,11722.41208151491,10451.95161823978,4999.525712066055,2182.214934692074,658.4126317099137,-694.6826072349949,-1650.541391333932,-2427.174565346215,-2759.230641417559,-3033.55142187736,-3734.47389439681,-3811.325077797966,-4352.875472394858,-4249.558803990525,-4552.368314487745,-4463.772981300464
"TIAM-ECN 1.1","EN_NPi2020_1000","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",9503.632498306182,12830.4370943489,"",11524.26066395412,"",2835.220240366307,"",-34.55431065376765,"",-3461.097114228387,"",-3211.622089298882,"",-2768.88732228874,"",-1450.08684596064,"",-1346.140247727158,"",-1544.798085678715
"POLES ENGAGE","EN_NPi2020_1200f","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",10203.7490234375,11570.8427734375,12363.328125,12777.8701171875,12940.880859375,12216.21484375,10112.8046875,7546.861328125,5160.76416015625,3680.184814453125,"",2158.821533203125,"",915.7445678710938,"",-525.1946411132812,"",-1366.35009765625,"",-1755.738647460938
"REMIND-MAgPIE 1.7-3.0","PEP_1p5C_full_NDC","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",9321.4476,10537.8253,11823.6361,12876.5286,12904.33,12660.57,8664.377,4308.237,30.2603,-2044.193,-2759.201,-3009.116,"",-2947.375,"",-2292.874,"",-1044.88,"",-170.1768
"POLES EMF33","EMF33_tax_hi_full","World","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr",8444.3251953125,10222.365234375,11611.9169921875,"",13236.234375,"",11036.8701171875,"",10481.6279296875,"",8264.28515625,"",-434.603088378906,"",-5325.32275390625,"",-7925.89794921875,"",-6536.96484375,"",-6455.609375
