"Model","Scenario","Region","Variable","Unit","2000","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"IMAGE 3.2","SSP1_SPA1_34I_D","World","Emissions|CO2|Energy|Demand|Transportation|Aviation","Mt CO2/yr","",682.9579497997948,692.9537604882455,808.4665407230302,464.8239103878905,1117.72632919479,1224.232785515022,1317.674253255708,1413.242079446046,1492.941783255957,1599.602023905896,1564.348101758119,1509.760080663524,1446.962884448384,1385.207285609606,1317.537946125438,1248.155506441217,1167.17629269442,1068.640211073352,966.805931268607,848.1703463471113
"IMAGE 3.2","SSP4-baseline","World","Emissions|CO2|Energy|Demand|Transportation|Aviation","Mt CO2/yr","",682.9579497997948,692.9540609949963,808.4665817012235,465.9122707124915,1281.079292413825,1567.962747209755,1889.098425877964,2279.206960358793,2710.090108462181,3226.559450522333,3457.565382437318,3602.82805098067,3655.245825980603,3646.685986800705,3535.688286347745,3342.542954093102,3111.322788183613,2873.105787001972,2631.921308975272,2395.256138314004
"IMAGE 3.2","SSP2_SPA2_45I_LIRE","World","Emissions|CO2|Energy|Demand|Transportation|Aviation","Mt CO2/yr","",682.9579429700959,692.9537126803533,808.4665817012235,465.914019115405,1092.401354983417,1158.652418708832,1224.26558172905,1270.270474370564,1269.856990740903,1301.640906799948,1388.982087500005,1462.237396720859,1235.709739340427,949.7443394977978,614.1711520589432,274.7910904637443,59.3287558348768,0.0001712551793124,0.0001535314828004,0.0001368054647468
"MESSAGEix-GLOBIOM_GEI 1.0","SSP2_noint_mc_50","World","Emissions|CO2|Energy|Demand|Transportation|Aviation","Mt CO2/yr",0,0,0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
"IMAGE 3.2","SSP2_SPA2_26I_LIRE","World","Emissions|CO2|Energy|Demand|Transportation|Aviation","Mt CO2/yr","",682.9579429700959,692.9537126803533,808.4665817012235,465.914019115405,1083.36984996909,1126.390792531847,1110.733407340095,1075.708280104836,1009.945123237791,972.5934727380712,980.0778392351556,966.385973084406,777.2071865162491,576.8294729195901,361.5521292220417,156.7405785265998,31.95288537050195,0.0001540166371615,0.0001448800819816,0.0001349440955397
"MESSAGEix-GLOBIOM_GEI 1.0","SSP2_openres_lc_CB550","World","Emissions|CO2|Energy|Demand|Transportation|Aviation","Mt CO2/yr",0,0,0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
"MESSAGEix-GLOBIOM 1.0","LowEnergyDemand_1.3_IPCC","World","Emissions|CO2|Energy|Demand|Transportation|Aviation","Mt CO2/yr","","",0,0,0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
"MESSAGEix-GLOBIOM_1.1","NGFS2_Divergent Net Zero Policies","World","Emissions|CO2|Energy|Demand|Transportation|Aviation","Mt CO2/yr","","",0,0,0,0,0,0,0,0,0,0,0,"",0,"",0,"",0,"",0
"IMAGE 3.2","SSP1_SPA1_26I_D","World","Emissions|CO2|Energy|Demand|Transportation|Aviation","Mt CO2/yr","",682.9579497997948,692.9537604882455,808.4665407230302,464.8239103878905,1117.708435383721,1200.646734595173,1266.091286009414,1321.912545830976,1344.230786088122,1387.830805159612,1311.742564161658,1206.678007528609,1091.155836457863,974.9640407306164,883.7083907980422,776.7749792671048,692.7179651343744,619.7248548832658,532.4692332359427,426.9712229337027
"MESSAGEix-GLOBIOM_GEI 1.0","SSP2_int_mc_50","World","Emissions|CO2|Energy|Demand|Transportation|Aviation","Mt CO2/yr",0,0,0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
"MESSAGEix-GLOBIOM_1.1","NGFS2_Net-Zero 2050","World","Emissions|CO2|Energy|Demand|Transportation|Aviation","Mt CO2/yr","","",0,0,0,0,0,0,0,0,0,0,0,"",0,"",0,"",0,"",0
"MESSAGEix-GLOBIOM_GEI 1.0","SSP2_openres_mc_50","World","Emissions|CO2|Energy|Demand|Transportation|Aviation","Mt CO2/yr",0,0,0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
"MESSAGEix-GLOBIOM_GEI 1.0","SSP2_int_lc_50","World","Emissions|CO2|Energy|Demand|Transportation|Aviation","Mt CO2/yr",0,0,0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
"IMAGE 3.2","SSP1_SPA1_19I_LIRE_LB","World","Emissions|CO2|Energy|Demand|Transportation|Aviation","Mt CO2/yr","",682.9579429700959,692.9537126803533,808.4665817012235,465.914019115405,1101.231260946171,990.1127362903032,933.4941569322606,808.0698991308095,628.4419410502016,515.1747794669317,444.9321801868247,399.1577113410113,306.9244958739353,224.1831549336667,146.4690409423447,68.08533217445576,16.0691317301882,0.0000999717335672235,0.00009616256273626552,0.00009150775116261498
"IMAGE 3.2","SSP1_SPA1_19I_D_LB","World","Emissions|CO2|Energy|Demand|Transportation|Aviation","Mt CO2/yr","",682.9579497997948,692.9537604882455,808.4665407230302,464.8239103878905,1089.102521637744,1013.343157959713,990.561372380106,914.4765462315934,779.4855808926943,689.7592849414759,577.3185510713176,490.817054529901,424.8862456295711,388.008767463771,371.6826762100195,363.838374337351,360.7647912904762,355.3790853992318,345.5889886559303,333.2408862491405
"MESSAGEix-GLOBIOM_1.1","NGFS2_Below 2?C","World","Emissions|CO2|Energy|Demand|Transportation|Aviation","Mt CO2/yr","","",0,0,0,0,0,0,0,0,0,0,0,"",0,"",0,"",0,"",0
"MESSAGEix-GLOBIOM_GEI 1.0","SSP2_openres_lc_100","World","Emissions|CO2|Energy|Demand|Transportation|Aviation","Mt CO2/yr",0,0,0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
"MESSAGEix-GLOBIOM_GEI 1.0","SSP2_openres_lc_50","World","Emissions|CO2|Energy|Demand|Transportation|Aviation","Mt CO2/yr",0,0,0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
"MESSAGEix-GLOBIOM_GEI 1.0","SSP2_openres_lc_15","World","Emissions|CO2|Energy|Demand|Transportation|Aviation","Mt CO2/yr",0,0,0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0,"",0
"IMAGE 3.2","SSP2_SPA1_19I_D_LB","World","Emissions|CO2|Energy|Demand|Transportation|Aviation","Mt CO2/yr","",682.9579497997948,692.9540609949963,808.4665817012235,465.9129605120785,1159.622393033027,1136.107104623286,1149.851579944517,1103.759704258052,1013.691431624457,951.4627668629788,837.6943053818337,748.7484254623647,669.9531923346806,623.8108929813765,611.9230439821863,622.8525154858813,647.8846390389297,677.5266317645727,709.1039221136685,739.7236818499304
"IMAGE 3.2","SSP2_SPA2_34I_RE","World","Emissions|CO2|Energy|Demand|Transportation|Aviation","Mt CO2/yr","",682.9579907779881,692.9540951434907,808.4666021903201,465.9132541891303,1161.403332632067,1314.65788942606,1411.381437261063,1537.445603699182,1642.447743714158,1780.898538890455,1913.256136253562,2052.938230522343,1902.767631087826,1586.925160284065,1135.844980780228,632.2186723305341,240.5293703220277,55.14693117002349,6.139998726972016,0.0003380074333325
"IMAGE 3.2","SSP1_SPA1_19I_RE_LB","World","Emissions|CO2|Energy|Demand|Transportation|Aviation","Mt CO2/yr","",682.9579497997948,692.9536853615579,808.4665338933313,464.8255768344175,1089.127818842399,1015.857094991171,992.584609206352,916.2297914016704,771.0316088751541,670.7060437017458,568.7357094655894,482.4831964265834,351.3650903797687,243.5274967213826,152.0710894976222,67.24929422130597,14.74494307707619,0.00009506872993405349,0.00008882624000110537,0.00008235373990906912
"IMAGE 3.2","SSP2_SPA2_19I_LI","World","Emissions|CO2|Energy|Demand|Transportation|Aviation","Mt CO2/yr","",682.9579429700959,692.9537126803533,808.4665817012235,465.913909840223,1101.216884430026,1187.625585852745,1180.45399224562,935.7364358610224,759.5033025438623,615.4049337469706,442.2473436002642,318.2981300146661,248.6578384640368,213.8796936294164,189.1505952786004,176.7667291536195,172.4590178114991,169.2366548967731,166.6531300634153,163.743910549814
"IMAGE 3.2","SSP2_SPA2_19I_D","World","Emissions|CO2|Energy|Demand|Transportation|Aviation","Mt CO2/yr","",682.9579497997948,692.9540609949963,808.4665817012235,465.9129605120785,1173.795875889477,1339.699212583501,1286.434910066649,1213.50577360496,1089.575833429604,1014.257456578629,878.8242409183811,807.2199977426434,811.1422118536923,861.7323252845396,931.573447545618,980.982371384672,988.6953620518024,946.0283618038624,886.6304911237333,809.2226840049561
"IMAGE 3.2","SSP2_SPA2_19I_RE","World","Emissions|CO2|Energy|Demand|Transportation|Aviation","Mt CO2/yr","",682.9579907779881,692.9540951434907,808.4666021903201,465.9132541891303,1161.255531118581,1315.408036232368,1178.840189037599,1034.16307155752,846.2057015075665,709.274084061292,667.3535357525656,711.5724689663624,701.2572537503377,610.0194873842837,445.5936553051345,247.0607628960004,88.71403917467808,19.39072838865805,1.779061505630574,0.0051337902502672
"© AR6 Scenario Explorer and Database hosted by IIASA https://data.ece.iiasa.ac.at/ar6"
